city_code,grid_distance,grid_id,geometry,餐饮服务,商场,超级市场,综合市场,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,商务住宅,政府机构及社会团体,学校,高等院校,地铁站,银行,公司企业,goods_predection
110108,0.05,24,"POLYGON ((116.248838 40.160985,116.298838 40.160985,116.298838 40.110985,116.248838 40.110985,116.248838 40.160985))",551,6,58,62,539,71,112,91,16,295,150,43,16,2,23,336,687
110108,0.05,25,"POLYGON ((116.248838 40.110985,116.298838 40.110985,116.298838 40.060985,116.248838 40.060985,116.248838 40.110985))",291,8,30,9,324,62,58,47,10,172,118,21,1,2,19,470,2008
110108,0.05,26,"POLYGON ((116.248838 40.060985,116.298838 40.060985,116.298838 40.010985,116.248838 40.010985,116.248838 40.060985))",520,8,53,34,697,76,195,49,39,403,288,50,17,4,65,554,308
110108,0.05,27,"POLYGON ((116.248838 40.010985,116.298838 40.010985,116.298838 39.960985,116.248838 39.960985,116.248838 40.010985))",358,5,39,18,572,67,120,39,389,254,320,39,7,6,68,213,2933
110108,0.05,28,"POLYGON ((116.248838 39.960985,116.298838 39.960985,116.298838 39.910985,116.248838 39.910985,116.248838 39.960985))",850,23,84,76,875,239,386,117,40,758,774,84,9,8,147,850,7
110108,0.05,29,"POLYGON ((116.248838 39.910985,116.298838 39.910985,116.298838 39.886829,116.248838 39.886829,116.248838 39.910985))",810,17,72,58,875,137,204,217,22,398,378,54,4,3,84,370,1447
110108,0.05,30,"POLYGON ((116.298838 40.160985,116.348838 40.160985,116.348838 40.110985,116.298838 40.110985,116.298838 40.160985))",172,1,47,18,185,30,30,65,12,159,63,15,0,0,1,133,1334
110108,0.05,31,"POLYGON ((116.298838 40.110985,116.348838 40.110985,116.348838 40.060985,116.298838 40.060985,116.298838 40.110985))",850,16,87,140,875,249,340,72,22,383,331,171,15,4,71,716,495
110108,0.05,32,"POLYGON ((116.298838 40.060985,116.348838 40.060985,116.348838 40.010985,116.298838 40.010985,116.298838 40.060985))",875,13,75,67,875,300,276,146,84,780,456,186,47,5,124,850,7
110108,0.05,33,"POLYGON ((116.298838 40.010985,116.348838 40.010985,116.348838 39.960985,116.298838 39.960985,116.298838 40.010985))",875,40,108,101,875,552,436,428,250,875,875,850,605,13,317,850,3839
110108,0.05,34,"POLYGON ((116.298838 39.960985,116.348838 39.960985,116.348838 39.910985,116.298838 39.910985,116.298838 39.960985))",875,17,99,112,875,396,492,315,306,875,875,586,264,13,330,850,2983
110108,0.05,35,"POLYGON ((116.298838 39.910985,116.348838 39.910985,116.348838 39.886829,116.298838 39.886829,116.298838 39.910985))",875,21,76,72,874,182,255,243,36,623,684,65,6,8,163,778,1856
110108,0.05,36,"POLYGON ((116.348838 40.160985,116.395093 40.160985,116.395093 40.110985,116.348838 40.110985,116.348838 40.160985))",116,3,18,11,166,43,47,18,12,50,45,11,2,0,8,65,2511
110108,0.05,37,"POLYGON ((116.348838 40.110985,116.395093 40.110985,116.395093 40.060985,116.348838 40.060985,116.348838 40.110985))",850,8,98,59,849,133,234,115,19,443,345,56,6,3,46,390,7
110108,0.05,38,"POLYGON ((116.348838 40.060985,116.395093 40.060985,116.395093 40.010985,116.348838 40.010985,116.348838 40.060985))",391,5,49,29,672,117,81,48,77,292,257,49,8,4,46,667,2104
110108,0.05,39,"POLYGON ((116.348838 40.010985,116.395093 40.010985,116.395093 39.960985,116.348838 39.960985,116.348838 40.010985))",875,22,100,76,875,386,466,301,205,875,875,875,351,14,231,850,322
110108,0.05,40,"POLYGON ((116.348838 39.960985,116.395093 39.960985,116.395093 39.910985,116.348838 39.910985,116.348838 39.960985))",875,22,124,120,875,367,686,534,492,875,875,244,64,11,321,875,3788
110108,0.05,41,"POLYGON ((116.348838 39.910985,116.395093 39.910985,116.395093 39.886829,116.348838 39.886829,116.348838 39.910985))",875,22,52,65,849,135,229,252,138,658,873,100,7,12,171,669,2543
